Industry,Remote_Level,Automation Risk (%),Median Salary (USD),Count
Education,低远程(0-20%),43.24,88924.05,736
Education,中低远程(20-50%),43.18,88669.47,1108
Education,中高远程(50-80%),43.18,88936.48,1163
Education,高远程(80-100%),43.3,89093.05,706
Entertainment,低远程(0-20%),42.49,91233.82,813
Entertainment,中低远程(20-50%),42.1,91066.88,1167
Entertainment,中高远程(50-80%),45.68,90013.87,1097
Entertainment,高远程(80-100%),42.66,90998.29,818
Finance,低远程(0-20%),42.18,109414.52,774
Finance,中低远程(20-50%),41.6,109753.98,1185
Finance,中高远程(50-80%),39.88,111196.82,1059
Finance,高远程(80-100%),42.38,109743.39,703
Healthcare,低远程(0-20%),42.79,93465.2,740
Healthcare,中低远程(20-50%),42.47,94037.96,1148
Healthcare,中高远程(50-80%),43.11,94412.52,1110
Healthcare,高远程(80-100%),43.63,94348.77,773
IT,低远程(0-20%),40.4,111550.68,793
IT,中低远程(20-50%),39.51,112836.58,1074
IT,中高远程(50-80%),40.15,112677.6,1075
IT,高远程(80-100%),39.77,112579.3,739
Manufacturing,低远程(0-20%),42.57,91400.71,753
Manufacturing,中低远程(20-50%),42.86,92751.57,1167
Manufacturing,中高远程(50-80%),42.14,92675.72,1149
Manufacturing,高远程(80-100%),41.65,92537.6,786
Retail,低远程(0-20%),42.17,86951.12,770
Retail,中低远程(20-50%),45.56,86185.8,1071
Retail,中高远程(50-80%),43.7,86305.53,1087
Retail,高远程(80-100%),43.25,87441.61,774
Transportation,低远程(0-20%),43.8,84985.07,756
Transportation,中低远程(20-50%),44.99,84562.21,1071
Transportation,中高远程(50-80%),45.75,85033.22,1100
Transportation,高远程(80-100%),44.97,85081.93,734
