Industry,Diversity_Level,Automation Risk (%),Median Salary (USD),Openings_Pct_Change,Count
Education,低多样性(0-40%),43.95,88546.33,126.12,1227
Education,中低多样性(40-45%),41.68,89257.67,184.39,324
Education,均衡(45-55%),43.4,88916.59,146.94,608
Education,中高多样性(55-60%),41.97,88084.24,159.69,328
Education,高多样性(60-100%),43.16,89297.63,125.06,1227
Entertainment,低多样性(0-40%),44.15,91051.88,145.32,1330
Entertainment,中低多样性(40-45%),42.46,92536.16,144.86,315
Entertainment,均衡(45-55%),42.19,90807.06,149.03,642
Entertainment,中高多样性(55-60%),42.31,92661.59,151.08,313
Entertainment,高多样性(60-100%),43.44,89637.74,123.89,1295
Finance,低多样性(0-40%),41.29,109942.65,156.04,1300
Finance,中低多样性(40-45%),42.86,108869.98,135.51,315
Finance,均衡(45-55%),41.02,110100.47,127.03,619
Finance,中高多样性(55-60%),42.8,110911.57,189.87,292
Finance,高多样性(60-100%),40.92,110371.94,134.48,1195
Healthcare,低多样性(0-40%),43.43,93664.62,163.12,1265
Healthcare,中低多样性(40-45%),39.96,94854.23,106.91,335
Healthcare,均衡(45-55%),43.24,94361.5,132.87,645
Healthcare,中高多样性(55-60%),39.61,95114.24,175.84,327
Healthcare,高多样性(60-100%),44.06,93929.85,132.61,1199
IT,低多样性(0-40%),39.38,112527.52,186.04,1221
IT,中低多样性(40-45%),38.85,112933.24,214.39,295
IT,均衡(45-55%),40.88,113038.45,153.22,625
IT,中高多样性(55-60%),41.15,110610.16,176.41,295
IT,高多样性(60-100%),39.98,112433.95,170.08,1245
Manufacturing,低多样性(0-40%),41.53,92511.09,150.42,1261
Manufacturing,中低多样性(40-45%),44.15,93129.36,139.61,332
Manufacturing,均衡(45-55%),42.62,92269.88,113.05,639
Manufacturing,中高多样性(55-60%),43.22,92154.21,107.64,335
Manufacturing,高多样性(60-100%),42.31,92295.98,124.22,1288
Retail,低多样性(0-40%),44.76,86210.89,156.06,1208
Retail,中低多样性(40-45%),45.19,86900.25,124.49,317
Retail,均衡(45-55%),43.85,86316.18,133.84,594
Retail,中高多样性(55-60%),42.25,86876.7,123.05,351
Retail,高多样性(60-100%),43.0,87090.58,107.61,1232
Transportation,低多样性(0-40%),44.94,84869.67,135.81,1222
Transportation,中低多样性(40-45%),45.1,84390.64,63.41,275
Transportation,均衡(45-55%),44.71,84868.7,154.19,616
Transportation,中高多样性(55-60%),47.15,86074.43,134.72,293
Transportation,高多样性(60-100%),44.58,84768.47,110.76,1255
