Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Investment analyst,IT,Increasing,Moderate,110628.47,Master’s Degree,5,1515,6342,55.96,20.27,UK,44.63
"Journalist, newspaper",Manufacturing,Increasing,Moderate,96212.34,Master’s Degree,15,1243,6205,16.81,77.43,USA,66.39
Financial planner,Finance,Increasing,Low,94105.61,Bachelor’s Degree,4,3338,1154,91.82,68.87,Canada,41.13
Legal secretary,Healthcare,Increasing,High,82948.26,Associate Degree,15,7173,4060,1.89,93.99,Australia,65.76
Aeronautical engineer,IT,Increasing,Low,133033.92,Master’s Degree,13,5944,7396,53.76,23.38,Germany,72.57
Legal secretary,Education,Decreasing,Low,111978.76,Master’s Degree,20,6985,7832,77.5,14.02,USA,46.91
"Surveyor, insurance",Manufacturing,Decreasing,High,82969.02,High School,7,9738,4360,30.51,7.04,UK,20.14
Dentist,Entertainment,Decreasing,High,72965.18,Associate Degree,0,1393,8206,9.74,4.02,Canada,59.27
Emergency planning/management officer,Education,Increasing,High,71701.34,High School,12,7729,4452,38.77,92.92,Australia,60.56
Visual merchandiser,Manufacturing,Decreasing,Moderate,89028.34,Associate Degree,16,1127,2375,4.29,60.52,China,48.19
Emergency planning/management officer,Manufacturing,Increasing,Moderate,107089.63,Bachelor’s Degree,17,4627,1684,89.49,31.81,China,34.83
Housing manager/officer,Entertainment,Decreasing,High,76695.27,High School,12,2800,7964,94.02,13.06,UK,31.9
"Geologist, wellsite",Entertainment,Increasing,Moderate,108369.81,PhD,7,1852,3700,32.89,0.0,Australia,56.02
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate,101846.67,PhD,2,1824,7625,55.6,3.09,Australia,27.5
Press photographer,Entertainment,Decreasing,Moderate,67142.93,Master’s Degree,3,8312,9700,59.95,87.51,India,56.06
"Biochemist, clinical",Entertainment,Increasing,Moderate,98193.46,Master’s Degree,2,1872,5314,93.9,0.0,China,74.67
Town planner,Retail,Decreasing,High,73168.16,Associate Degree,11,7251,1090,15.25,48.02,UK,23.99
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate,100098.19,Associate Degree,17,1044,8832,12.92,54.61,India,56.12
Audiological scientist,Transportation,Increasing,Low,82906.17,Master’s Degree,8,5379,8913,82.13,72.5,UK,38.87
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High,93074.66,Master’s Degree,2,2377,7307,4.29,9.86,India,56.57
Music therapist,Education,Increasing,High,75263.19,High School,4,2661,5588,88.17,28.83,India,34.19
Advertising copywriter,Retail,Decreasing,High,104717.71,Bachelor’s Degree,14,7291,7469,65.94,0.0,Brazil,74.45
Commercial horticulturist,Education,Decreasing,Low,82137.55,Associate Degree,14,5892,369,43.78,88.2,UK,56.8
